Date,Open,High,Low,Close,Volume,Adj Close
2016-04-11,123.375,128.10,122.85,123.90,4159000,112.2087
2016-04-08,123.90,126.525,122.325,122.325,3834900,110.7823
2016-04-07,119.175,123.375,118.65,122.85,2565600,111.2578
2016-04-06,120.225,120.75,117.60,118.65,1035400,107.4541
2016-04-05,120.225,120.225,120.225,120.225,000,108.8805
2016-04-04,120.225,120.225,120.225,120.225,000,108.8805
2016-04-01,119.175,121.275,118.125,120.225,1233900,108.8805
2016-03-31,119.175,122.85,118.65,119.70,1454400,108.405
2016-03-30,117.60,118.125,117.075,118.125,866700,106.9787
2016-03-29,122.325,122.85,115.50,116.025,1709300,105.0768
2016-03-28,121.80,124.95,121.275,121.275,2251800,109.8314
2016-03-25,121.80,121.80,119.70,119.70,634300,108.405
2016-03-24,120.225,122.85,117.60,121.275,1112400,109.8314
2016-03-23,121.80,121.80,119.70,120.225,751200,108.8805
2016-03-22,123.90,124.425,119.175,120.75,1675100,109.356
2016-03-21,121.275,126.00,118.65,124.425,3192200,112.6842
2016-03-18,119.70,120.75,118.125,119.70,889600,108.405
2016-03-17,123.90,124.425,118.125,118.65,1427700,107.4541
2016-03-16,118.65,122.325,117.60,121.80,1932300,110.3069
2016-03-15,127.05,129.675,117.60,117.60,3713300,106.5032
2016-03-14,121.80,128.10,120.225,127.05,4089900,115.0615
2016-03-11,118.65,122.325,118.65,120.75,2039700,109.356
2016-03-10,119.70,121.275,117.60,118.125,1761900,106.9787
2016-03-09,123.375,123.375,119.175,120.225,2531500,108.8805
2016-03-08,119.70,122.325,116.55,122.325,3011400,110.7823
2016-03-07,122.325,123.90,119.175,120.75,2822600,109.356
2016-03-04,119.175,127.575,119.175,121.275,7830900,109.8314
2016-03-03,112.875,118.65,112.35,116.55,3708100,105.5523
2016-03-02,116.025,117.075,111.30,111.825,2070900,101.2731
2016-03-01,113.925,117.075,112.35,113.925,3368100,103.175
2016-02-29,113.40,113.40,113.40,113.40,000,102.6995
2016-02-26,113.40,114.45,109.725,113.40,2098900,102.6995
2016-02-25,111.30,113.925,109.20,113.40,3676300,102.6995
2016-02-24,118.125,119.70,111.30,111.30,4729200,100.7977
2016-02-23,118.125,119.70,114.45,118.125,4509300,106.9787
2016-02-22,121.275,121.275,116.55,118.65,3564900,107.4541
2016-02-19,115.50,121.275,115.50,121.275,6024300,109.8314
2016-02-18,104.79,111.825,104.79,111.825,7410900,101.2731
2016-02-17,96.60,101.85,96.18,101.745,2400200,92.1443
2016-02-16,96.60,96.705,95.13,96.495,724400,87.3897
2016-02-15,91.455,96.075,91.245,96.075,822900,87.0093
2016-02-12,92.40,92.40,92.40,92.40,000,83.6811
2016-02-11,92.40,92.40,92.40,92.40,000,83.6811
2016-02-10,92.40,92.40,92.40,92.40,000,83.6811
2016-02-09,92.40,92.40,92.40,92.40,000,83.6811
2016-02-08,92.40,92.40,92.40,92.40,000,83.6811
2016-02-05,92.40,92.40,92.40,92.40,000,83.6811
2016-02-04,92.40,92.40,92.40,92.40,000,83.6811
2016-02-03,91.35,92.925,91.245,92.40,277500,83.6811
2016-02-02,92.82,93.345,91.875,91.875,253800,83.2056
2016-02-01,94.395,94.395,92.715,92.82,285200,84.0615
2016-01-29,90.30,94.29,89.88,93.975,834800,85.1075
2016-01-28,88.305,90.30,87.675,90.30,371900,81.7792
2016-01-27,89.67,89.67,88.20,88.305,190400,79.9725
2016-01-26,87.885,89.775,87.15,88.515,156600,80.1627
2016-01-25,88.305,89.25,87.675,88.305,267000,79.9725
2016-01-22,87.675,88.41,86.73,87.36,192400,79.1167
2016-01-21,87.15,87.675,86.205,86.835,147500,78.6412
2016-01-20,90.09,90.09,85.995,86.415,342700,78.2608
2016-01-19,88.62,90.615,86.94,90.30,235200,81.7792
2016-01-18,84.63,89.145,84.63,88.515,249100,80.1627
2016-01-15,87.15,88.83,86.205,86.31,217300,78.1657
2016-01-14,86.205,86.625,84.63,86.31,402700,78.1657
2016-01-13,87.255,89.25,87.255,88.20,328800,79.8774
2016-01-12,91.35,91.77,86.10,86.415,533800,78.2608
2016-01-11,92.295,92.295,90.30,90.30,389000,81.7792
2016-01-08,89.565,93.45,88.725,92.295,287400,83.586
2016-01-07,93.03,93.975,88.20,89.985,577600,81.494
